abbrev	meaning	ru_meaning
3	declined in all three gender	cклоняется во всех трех родах
()	letters deleted from construction 	буквы удаленные из конструкции
(caus)	causative base	каузативная основа, основа побудительного залог
(desid)	desiderative base 	дезидеративная основа
(fut)	future base 	основа будующего времени
(intens)	intensive base 	усилительная основа
(pass)	passive base 	основа страдательного залога; основа пассивной формы
[]	letters added to construction 	буквы добавленные в конструкцию
1st	first person 	1е лицо
2nd	second person 	2е лицо
3rd	third person 	3е лицо
abbrev	abbreviated 	сокращённая форма
ABD	Abhidhāna Dicitonary 	Словарь Абхидхана
abl	ablative 	отделительный падеж
abs	absolutive 	деепричастие
abstr	abstract noun 	абстрактное существительное
acc	accusative 	винительный падеж
adj	adjective 	прилагательное
adj in comps	adjective in compounds 	прилагательное в сочетании слов
adv	adverb 	наречие
affirm	affirmative particle 	утвердительная частица
agent	agent noun 	существительное деятель (кто совершает действие)
AN	Aṅguttara Nikāya 	Ангуттара Никая
ANa	Aṅguttara Nikāya Aṭṭhakathā 	Ангуттара Никая Комментарий
aor	aorist 	аорист, прошедшее время
APA	Therāpadāna 	Тхерападана
API	Therīapadāna 	Тхериападана
app	active past participle 	причастие прошедшего времени действительного залога
base	pronoun base 	основа местоимения
BD	Concise Pali English Dictionary (Ven. Buddhadatta)  	Краткий Словарь Пали-Англ. (Досл. Буддхадатта)
bsk	Buddhist Sanskrit 	Буддийский Санскрит
BV	Buddhavaṃsa 	Буддхаванса
card	cardinal number 	количественное числительное
caus	causative 	каузатив, побудительный залог
comp	samāsa compound 	"сложное слово ""самаса"""
comp vb	compound verb 	составной глагол
compar	comparative 	сравнительная форма
conc	concrete noun 	конкретное существительное
cond	conditional mood 	условное наклонение
CP	Cariyā Piṭaka 	Карийа Питака
CPD	Critical Pāli Dictionary 	Критический Пали Словарь
cs	conjugational sign 	признак сопряжения
dat	dative 	дательный падеж
deno	denominative 	отымённое слово
derog	derogatory 	умаляющая форма
desid	desiderative 	дезидеративная форма
DHP	Dhammapada 	Дхаммапада
DHPa	Dhammapada Aṭṭhakathā 	Дхаммапада Комментарий
dial	dialect 	диалект
dimin	diminutive 	уменьшительное существительное
ditrans	di-transitive verb 	двойной переходный, транзитивный глагол
DN	Dīgha Nikāya 	Дигха Никая
DNa	Dīgha Nikāya Aṭṭhakathā 	Дигха Никая Комментарий
Edg	Edgerton Buddhist Hybrid Sanskrit Dictionary 	Смешанный Словарь Буддийского Санскрита Эджертона
emph	emphatic particle 	эмфатическая частица
excl	exclamation 	восклицание
f	feminine 	женский род
fig	figurative meaning 	образный смысл
fut	future tense 	будущее время
gen	genitive 	родительный падеж
gen abs	genitive absolute construction 	родительный падеж абсолютная конструкция
ger	gerund 	герундий
gram	grammatical term 	грамматический термин
imp	imperative mood 	повелительное наклонение
imperf	imperfect past tense 	имперфектное прошедшее время
impers	impersonal 	безличный глагол
in comp	in compounds 	в составе сложных слов
ind	indeclinable 	несклоняемое слово
inf	infinitive 	инфинитив, неопределённая форма глагола
instr	instrumental 	творительный, инструментальный падеж
interr	interrogative 	вопросительное слово
intrans	intransitive verb 	непереходный глагол
irreg	irregular conjugation or declension 	неправильное, нерегулярно образованное слово
ITI	Itivuttaka 	Итивуттака
JA	Jātaka 	Джатака
KP	Khuddaka Pāṭha 	Куддака Патха
KVa	Kaṅkhāvitaraṇīaṭṭhakathā 	Канкхавитараниаттхакатха
lit. 	literal meaning 	буквальный, дословный смысл
trans	transitive verb 	переходный, транзитивный глагол
intrans	intransitive verb 	непереходный глагол
loc	locative 	местный падеж
loc abs	locative absolute construction 	местный падеж абсолютная конструкция
m	masculine 	мужской род
MN	Majjhimā Nikāya 	Мадджхима Никая
MNa	Majjhimā Nikāya Aṭṭhakathā 	Мадджхима Никая Комментарий
MOGG	Moggallānabyākaraṇaṃ 	Моггалланабйакаранан
MW	Monier-Williams Sanskrit-English Dictionary 	Санскр-Анг Словарь Монье Вильямс
neg	negative 	отрицательная частица
nt	neuter 	средний род
onom	onomatopoeia 	ономатопея, звукоподражание
opp	opposite of 	антоним, слово с противоположным значением
opt	optative mood 	оптативное, желательное наклонение
ord	ordinal number 	порядковое числительное
pass	passive 	страдательный залог
patr -	patronymic 	указывающий на происхождение (о префиксе, суффиксе)
perf	perfect past tense 	перфектное прошлое время
pl	plural 	множественное число
POS	part of speech 	часть речи
pp	past participle 	причастие прошедшего времени
pprp	passive present participle 	причастие настоящего времени страдательного залога
pr	present tense 	настоящее время
prep	preposition 	предлог
prk	Prakrit 	Пракрит
proc	process noun 	существительное действие
pron	pronoun 	местоимение
prp	present participle 	причастие настоящего времени
PRS	Padarūpasiddhi 	Падарупасиддхи
ptp	potential particle 	причастие будущего времени
PED	Pāli English Dictionary of the Pāli Text Society	Пали Английский Словарь Общества Палийских Текстов
PV	Peta Vatthu 	Пета Ваттху 
reflx	reflexive 	возвратное местоимение
rg	root group 	группа корней
SCPN	Syntax of the Case in the Pali Nikayas by O.H. de A. Wijesekera 	Синтакс падежей в Пали Никая (Виджесекера)
SDM	Saddanītippakaraṇaṃ Dhātumālā 	Садданитиппакаранан Дхатумала 
