Pāli1	Fin	ex	POS	Grammar	Derived from	Neg	Verb	Trans	Case	Meaning IN CONTEXT	Meaning in native language	Meaning in SBS-PER	Pāli Root	Base	Construction	Sanskrit	Sk Root	Variant	Commentary	Notes	Source1	Sutta1	Example1	Pali chant 1	English chant 1	Chapter 1	Source2	Sutta2	Example2	Pali chant 2	English chant 2	Chapter 2	Source3	Sutta3	Example3	Pali chant 3	English chant 3	Chapter 3	Index	Stem	Pattern	Test	class	count	audio
akakkasa	p		adj		kakkasa	neg				smooth; tender; not harsh; not rough	деликатный; тактичный; вежливый; не резкий; не грубый				na > a + kakkasa	akarkaśa				PTS suggests ku + √kar + ta?	DHP 408	brāhmaṇavaggo	<b>akakkasaṃ</b> viññāpaniṃ, giraṃ saccam'udīraye,<br/>yāya n'ābhisaje kañci, tam'ahaṃ brūmi brāhmaṇaṃ.																	akakkas	a adj	5			
akaṅkhī	p		adj		kaṅkhā	neg				having no doubt; not uncertain	не сомневающийся; без неясности		√kaṅkh 1 a (to doubt)		na > a + √kaṅkh + ā + ī<br/>akaṅkhā + ī	na + kāṅkṣin	√śaṅk				AN 4.184	abhayasuttaṃ	puna caparaṃ, brāhmaṇa, idh'ekacco <b>akaṅkhī</b> hoti avicikicchī niṭṭhaṅ'gato saddhamme. tam'enaṃ aññataro gāḷho rog'ātaṅko phusati.																	akaṅkh	ī adj	5			
akaci	p		pron	base	ka	neg				nothing; lit. not something	ничто; досл. не что-то				na > a + ka + ci	akiṃcid					DHP 390	brāhmaṇavaggo	na brāhmaṇass'etad'<b>akiñci</b> seyyo,<br/>yadā nisedho manaso piyehi,<br/>yato yato hiṃsamano nivattati,<br/>tato tato sammati'm'eva dukkhaṃ.																	!a	kaci pron	5			
akaccha	p		ptp		na katheti	neg				unfit to be talked to; should not be spoken to	не подходит для разговора (с); не следует говорить (с)		√kath 8 *e (to speak, narrate)		na + √kath + *ya	akathya	√kath		(ANa) akaccho'ti kathetuṃ na yutto.		AN 3.68	kathāvatthusuttaṃ	sac’āyaṃ, bhikkhave, puggalo pañhaṃ puṭṭho samāno aññen’aññaṃ paṭicarati, bahiddhā kathaṃ apanāmeti, kopañ’ca dosañ’ca appaccayañ’ca pātukaroti, evaṃ sant’āyaṃ, bhikkhave, puggalo <b>akaccho</b> hoti.																	akacch	a ptp	5			
akaṭa 1	p		pp	in comps	na karoti	neg				not done; not performed; not acted	не сделанный; не совершенный		√kar 7 o (to do, make)		na + √kar + ta	akṛta	√kṛ				VIN PAT PC 69	ukkhittasambhoga sikkhāpada	yo pana bhikkhu jānaṃ tathāvādinā bhikkhunā, <b>akaṭa</b>-anudhammena taṃ diṭṭhiṃ appaṭinissaṭṭhena, saddhiṃ sambhuñjeyya vā saṃvaseyya vā saha vā seyyaṃ kappeyya, pācittiyaṃ.																	akaṭ	a pp	5			
akaṭānudhamma	p		adj	comp						who has not performed the legal procedure; who has not been dealt with according to the rule	кто не выполнил правовую процедуру; с которым не поступили в соответствии с правилом				akaṭa + anudhamma	akṛta + anu + dharma			(VIN 2.1.69) akaṭ'ānudhammo nāma ukkhitto anosārito.		VIN PAT PC 69	ukkhittasambhoga sikkhāpada	yo pana bhikkhu jānaṃ tathāvādinā bhikkhunā, <b>akaṭ’ānudhammena</b> taṃ diṭṭhiṃ appaṭinissaṭṭhena, saddhiṃ sambhuñjeyya vā saṃvaseyya vā saha vā seyyaṃ kappeyya, pācittiyaṃ.																	akaṭānudhamm	a adj	5			
akatakalyāṇa	p		adj	comp		neg				who has not done good deeds	кто не делал добрых дел				akata + kalyāṇa	akṛta + kalyāṇa			(ANa) <b>akatakalyāṇo</b>'tiādīsu kalyāṇaṃ vuccati puññakammaṃ, taṃ akataṃ etenā'ti akatakalyāṇo. sesapadesu'pi es'eva nayo.		AN 4.184	abhayasuttaṃ	puna caparaṃ, brāhmaṇa, idh'ekacco <b>akatakalyāṇo</b> hoti akatakusalo akatabhīruttāṇo katapāpo kataluddo katakibbiso. tam'enaṃ aññataro gāḷho rog'ātaṅko phusati.																	akatakalyāṇ	aī adj	5			
akatakibbisa	p		adj	comp		neg				who has not done wrong; who has not done dirty things; who has not committed sins	кто не делал ничего плохого; кто не делал грязных вещей; кто не совершал грехи				na > a + kata + kibbisa	akṛta + kilbiṣa			(ANa) <b>kibbisan</b>'ti samalaṃ aparisuddhakammaṃ		AN 4.184	abhayasuttaṃ	puna caparaṃ, brāhmaṇa, idh'ekacco akatapāpo hoti akataluddo <b>akatakibbiso</b> katakalyāṇo katakusalo katabhīruttāṇo. tam'enaṃ aññataro gāḷho rog'ātaṅko phusati.																	akatakibbis	a adj	5			
akatakusala	p		adj	comp		neg				who has not done good; who has not made merit	кто не делал добро; кто не делал заслуг				akata + kusala	akṛta + kuśala			(ANa) puññakammam'eva hi kosallasambhūtattā <b>kusalaṃ</b>		AN 4.184	abhayasuttaṃ	puna caparaṃ, brāhmaṇa, idh'ekacco akatakalyāṇo hoti <b>akatakusalo</b> akatabhīruttāṇo katapāpo kataluddo katakibbiso. tam'enaṃ aññataro gāḷho rog'ātaṅko phusati.																	akatakusal	a adj	5			
akataññū 1	p		adj	comp		neg				ungrateful; lit. not knowing what is done	неблагодарный; досл. не знающий что сделано				na > a + kata + ñū	na + kṛtajña				see akataññu 2	DHP 097	arahantavaggo	assaddho <b>akataññū</b> ca, sandhicchedo ca yo naro,<br/>hat'āvakāso vant'āso, sa ve uttamaporiso.																	akataññ	ū adj	5			
