Pāli1	Fin	ex	POS	Grammar	Derived from	Neg	Verb	Trans	Case	Meaning IN CONTEXT	Meaning in native language	Meaning in SBS-PER	Pāli Root	Base	Construction	Sanskrit	Sk Root	Variant	Commentary	Notes	Source1	Sutta1	Example1	Pali chant 1	English chant 1	Chapter 1	Source2	Sutta2	Example2	Pali chant 2	English chant 2	Chapter 2	Source3	Sutta3	Example3	Pali chant 3	English chant 3	Chapter 3	Index	Stem	Pattern	Test	class	count	audio
akata 1	ps		pp		na + karoti	neg				not done; not made; not created			√kar 7 o (to do, make)		na + √kar + ta	akṛta	√kṛ				UD 73	tatiyanibbāna paṭisaṃyuttasuttaṃ	no ce’taṃ abhavissa ajātaṃ abhūtaṃ <b>akataṃ</b> asaṅkhataṃ na’y’idha jātassa bhūtassa katassa saṅkhatassa nissaraṇaṃ paññāyetha.				SN 2.8	tāyanasuttaṃ	<b>akataṃ</b> dukkaṭaṃ seyyo, pacchā tappati dukkaṭaṃ, <br/>katañ’ca sukataṃ seyyo, yaṃ katvā n’ānutappati.	Tāyana-gāthā	On Protection	Verses							14n	akat	a pp	5	11	110	
akata 3	s		adj		na + karoti	neg				not doing; not making; not practising			√kar 7 o (to do, make)		na + √kar + ta	akṛta	√kṛ										PAT PK	dhammayuttika-pubbakicca	pānīyaparibhojanīya-upaṭṭhapanañ'ca; chand'ārahānaṃ bhikkhūnaṃ chanda-āharaṇañ'ca; tesaññ'eva <b>akata</b>-uposathānaṃ pārisuddhiyā'pi āharaṇañ'ca	Pubbakicca	Preliminary duty	International Pātimokkha							80n	akat	a adj	5			
akatuposatha	s		adj	comp						who does not participate in the Uposatha					akata + uposatha												PAT PK	dhammayuttika-pubbakicca	pānīyaparibhojanīya-upaṭṭhapanañ'ca; chand'ārahānaṃ bhikkhūnaṃ chanda-āharaṇañ'ca; tesaññ'eva <b>akat'uposathānaṃ</b> pārisuddhiyā'pi āharaṇañ'ca	Pubbakicca	Preliminary duty	International Pātimokkha							80n	akatuposath	a masc	5			
akathaṃkathī	ps		adj	comp		neg			+loc	not confused; without doubt; lit. not asking 'how?'					na + kathaṃ + kathī	akathaṃkathika					DHP 411	brāhmaṇavaggo	yass'ālayā na vijjanti, aññāya <b>akathaṃkathī</b>,<br/>amat'ogadham'anuppattaṃ, tam'ahaṃ brūmi brāhmaṇaṃ.				MN 107	gaṇakamoggallānasuttaṃ	vicikicchaṃ pahāya tiṇṇavicikiccho viharati <b>akathaṃkathī</b> kusalesu dhammesu, vicikicchāya cittaṃ parisodheti	Anupubba-sikkhā	The Gradual Training	Teachings							18n	akathaṃkath	ī adj	5			
akanta	ps		adj	pp	na kāmeti	neg				unpleasant; unwelcome; disagreeable			√kam 8 *e (to desire)		na + √kam + ta	akānta	√kam				DN 22.15	mahāsatipaṭṭhānasuttaṃ	idha yassa te honti aniṭṭhā <b>akantā</b> amanāpā rūpā saddā gandhā rasā phoṭṭhabbā dhammā, ye vā pan’assa te honti anatthakāmā ahitakāmā aphāsukakāmā ayogakkhemakāmā				Trad		yan’dunnimittaṃ avamaṅgalañ’ca, yo c’āmanāpo sakuṇassa saddo, pāpaggaho dussupinaṃ <b>akantaṃ</b>, buddh’ānubhāvena vināsamentu	Abhaya-parittaṃ		Protective Recitations							58n	akant	a adj	5			
akammāsa	s		adj		na kammāsa	neg				unblemished; spotless; pure					na + kammāsa	akalmāṣa											MN 48	kosambiyasuttaṃ	bhikkhu yāni tāni sīlāni akhaṇḍāni acchiddāni asabalāni <b>akammāsāni</b> bhujissāni viññuppasatthāni aparāmaṭṭhāni samādhi-saṃvattanikāni 	Cha sāraṇīya-dhammā	Principles of Cordiality	Teachings							26n	akammās	a adj	5			
akaraṇa	s		nt	act	na karoti	neg				non-doing; non-action; absence of action			√kar 7 o (to do, make)		na + √kar + aṇa	akaraṇa	√kṛ										DHP 183	buddhavaggo	sabba-pāpassa <b>akaraṇaṃ</b>, kusalassa upasampadā. <br/>sacitta-pariyodapanaṃ, etaṃ buddhāna sāsanaṃ.	Ovāda-pāṭimokkha-gāthā	The Pāṭimokkha Exhortation	Verses							09n	akaraṇ	a nt	5			
akālika	ps		adj		na kāla	neg				not delayed; immediate; timeless; (comm) giving immediate fruit			√kal 8 *e (to spend time)		na + √kal + *ika	akālikam	√kal		(SNa) attano phaladānaṃ sandhāya n'āssa kālo'ti akālo, akālo'y'eva akāliko.		SN 42.11	bhadrakasuttaṃ	“iminā tvaṃ dhammena diṭṭhena viditena <b>akālikena</b> pattena pariyogāḷhena atīt'ānāgate nayaṃ nehi -				SN 11.3	dhajaggasuttaṃ	svākkhāto bhagavatā dhammo sandiṭṭhiko <b>akāliko</b> ehipassiko opanayiko paccattaṃ veditabbo viññūhi	Dhamm’ābhitthuti	Homage to the Dhamma	Homage to the Triple Gem							03n	akālik	a adj	5			
akāsi	ps		aor		karoti			trans	+acc	did; made			√kar 7 o (to do, make)	√kar > kā (irreg)	a + kā + si	akṛthās, akrātām	√kṛ				VIN 1.2.12	dubbaca sikkhāpada	m’āyasmā attānaṃ avacanīyaṃ <b>akāsi</b>,  … , āyasmā’pi bhikkhū vadetu sahadhammena, bhikkhūpi āyasmantaṃ vakkhanti sahadhammena.				KHP 7	tirokuṭṭasuttaṃ	adāsi me <b>akāsi</b> me, ñātimittā sakhā ca me. petānaṃ dakkhiṇaṃ dajjā, pubbe katam’anussaraṃ.	Adāsi-me ādi gāthā		Funeral Chants							66n	ak	āsi aor	5			
akiñcana	ps		adj		na kiñci	neg				with nothing; having no; possession-less					na + kiñci + ana	akiñcana					DHP 396	brāhmaṇavaggo	na c'āhaṃ brāhmaṇaṃ brūmi, yonijaṃ mattisambhavaṃ,<br/>bhovādi nāma so hoti, sace hoti sakiñcano,<br/><b>akiñcanaṃ</b> anādānaṃ, tam'ahaṃ brūmi brāhmaṇaṃ.				DHP 088	paṇḍitavaggo	tatr’ābhiratim’iccheyya, hitvā kāme <b>akiñcano</b>, <br/>pariyodapeyya attānaṃ, cittaklesehi paṇḍito.	Ti-lakkhaṇā	The Three Characteristics	Verses							10n	akiñcan	a adj	5			
